time,a.s.x,a.s.y,a.v.x,a.v.y,a.a.x,a.a.y,b.s.x,b.s.y,b.v.x,b.v.y,b.a.x,b.a.y
2.0072,0.139699,0.163631,-0.0179956,0.0282863,0,0,0.261021,0.217089,0.117996,0.0717137,0,0
2.0073,0.139697,0.163634,-0.0179956,0.0282863,0,0,0.261033,0.217096,0.117996,0.0717137,0,0
2.0074,0.139695,0.163636,-0.0179956,0.0282863,0,0,0.261045,0.217104,0.117996,0.0717137,0,0
2.0075,0.139693,0.163639,-0.0179956,0.0282863,0,0,0.261057,0.217111,0.117996,0.0717137,0,0
2.0076,0.139692,0.163642,-0.0179956,0.0282863,0,0,0.261068,0.217118,0.117996,0.0717137,0,0
2.0077,0.13969,0.163645,-0.0179956,0.0282863,0,0,0.26108,0.217125,0.117996,0.0717137,0,0
2.0078,0.139688,0.163648,-0.0179956,0.0282863,0,0,0.261092,0.217132,0.117996,0.0717137,0,0
2.0079,0.139686,0.163651,-0.0179956,0.0282863,0,0,0.261104,0.217139,0.117996,0.0717137,0,0
2.008,0.139684,0.163653,-0.0179956,0.0282863,0,0,0.261116,0.217147,0.117996,0.0717137,0,0
2.0081,0.139683,0.163656,-0.0179956,0.0282863,0,0,0.261127,0.217154,0.117996,0.0717137,0,0
2.0082,0.139681,0.163659,-0.0179956,0.0282863,0,0,0.261139,0.217161,0.117996,0.0717137,0,0
2.0083,0.139679,0.163662,-0.0179956,0.0282863,0,0,0.261151,0.217168,0.117996,0.0717137,0,0
2.0084,0.139677,0.163665,-0.0179956,0.0282863,0,0,0.261163,0.217175,0.117996,0.0717137,0,0
2.0085,0.139675,0.163668,-0.0179956,0.0282863,0,0,0.261175,0.217182,0.117996,0.0717137,0,0
2.0086,0.139674,0.16367,-0.0179956,0.0282863,0,0,0.261186,0.21719,0.117996,0.0717137,0,0
2.0087,0.139672,0.163673,-0.0179956,0.0282863,0,0,0.261198,0.217197,0.117996,0.0717137,0,0
2.0088,0.13967,0.163676,-0.0179956,0.0282863,0,0,0.26121,0.217204,0.117996,0.0717137,0,0
2.0089,0.139668,0.163679,-0.0179956,0.0282863,0,0,0.261222,0.217211,0.117996,0.0717137,0,0
2.009,0.139666,0.163682,-0.0179956,0.0282863,0,0,0.261234,0.217218,0.117996,0.0717137,0,0
2.0091,0.139665,0.163685,-0.0179956,0.0282863,0,0,0.261245,0.217225,0.117996,0.0717137,0,0
2.0092,0.139663,0.163687,-0.0179956,0.0282863,0,0,0.261257,0.217233,0.117996,0.0717137,0,0
2.0093,0.139661,0.16369,-0.0179956,0.0282863,0,0,0.261269,0.21724,0.117996,0.0717137,0,0
2.0094,0.139659,0.163693,-0.0179956,0.0282863,0,0,0.261281,0.217247,0.117996,0.0717137,0,0
2.0095,0.139657,0.163696,-0.0179956,0.0282863,0,0,0.261293,0.217254,0.117996,0.0717137,0,0
2.0096,0.139656,0.163699,-0.0179956,0.0282863,0,0,0.261304,0.217261,0.117996,0.0717137,0,0
2.0097,0.139654,0.163702,-0.0179956,0.0282863,0,0,0.261316,0.217268,0.117996,0.0717137,0,0
2.0098,0.139652,0.163704,-0.0179956,0.0282863,0,0,0.261328,0.217276,0.117996,0.0717137,0,0
2.0099,0.13965,0.163707,-0.0179956,0.0282863,0,0,0.26134,0.217283,0.117996,0.0717137,0,0
2.01,0.139648,0.16371,-0.0179956,0.0282863,0,0,0.261352,0.21729,0.117996,0.0717137,0,0
2.0101,0.139647,0.163713,-0.0179956,0.0282863,0,0,0.261363,0.217297,0.117996,0.0717137,0,0
2.0102,0.139645,0.163716,-0.0179956,0.0282863,0,0,0.261375,0.217304,0.117996,0.0717137,0,0
2.0103,0.139643,0.163718,-0.0179956,0.0282863,0,0,0.261387,0.217312,0.117996,0.0717137,0,0
2.0104,0.139641,0.163721,-0.0179956,0.0282863,0,0,0.261399,0.217319,0.117996,0.0717137,0,0
2.0105,0.139639,0.163724,-0.0179956,0.0282863,0,0,0.261411,0.217326,0.117996,0.0717137,0,0
2.0106,0.139638,0.163727,-0.0179956,0.0282863,0,0,0.261422,0.217333,0.117996,0.0717137,0,0
2.0107,0.139636,0.16373,-0.0179956,0.0282863,0,0,0.261434,0.21734,0.117996,0.0717137,0,0
2.0108,0.139634,0.163733,-0.0179956,0.0282863,0,0,0.261446,0.217347,0.117996,0.0717137,0,0
2.0109,0.139632,0.163735,-0.0179956,0.0282863,0,0,0.261458,0.217355,0.117996,0.0717137,0,0
2.011,0.13963,0.163738,-0.0179956,0.0282863,0,0,0.26147,0.217362,0.117996,0.0717137,0,0
2.0111,0.139629,0.163741,-0.0179956,0.0282863,0,0,0.261481,0.217369,0.117996,0.0717137,0,0
2.0112,0.139627,0.163744,-0.0179956,0.0282863,0,0,0.261493,0.217376,0.117996,0.0717137,0,0
2.0113,0.139625,0.163747,-0.0179956,0.0282863,0,0,0.261505,0.217383,0.117996,0.0717137,0,0
2.0114,0.139623,0.16375,-0.0179956,0.0282863,0,0,0.261517,0.21739,0.117996,0.0717137,0,0
2.0115,0.139621,0.163752,-0.0179956,0.0282863,0,0,0.261529,0.217398,0.117996,0.0717137,0,0
2.0116,0.13962,0.163755,-0.0179956,0.0282863,0,0,0.26154,0.217405,0.117996,0.0717137,0,0
2.0117,0.139618,0.163758,-0.0179956,0.0282863,0,0,0.261552,0.217412,0.117996,0.0717137,0,0
2.0118,0.139616,0.163761,-0.0179956,0.0282863,0,0,0.261564,0.217419,0.117996,0.0717137,0,0
2.0119,0.139614,0.163764,-0.0179956,0.0282863,0,0,0.261576,0.217426,0.117996,0.0717137,0,0
2.012,0.139612,0.163767,-0.0179956,0.0282863,0,0,0.261588,0.217433,0.117996,0.0717137,0,0
2.0121,0.139611,0.163769,-0.0179956,0.0282863,0,0,0.261599,0.217441,0.117996,0.0717137,0,0
2.0122,0.139609,0.163772,-0.0179956,0.0282863,0,0,0.261611,0.217448,0.117996,0.0717137,0,0
2.0123,0.139607,0.163775,-0.0179956,0.0282863,0,0,0.261623,0.217455,0.117996,0.0717137,0,0
2.0124,0.139605,0.163778,-0.0179956,0.0282863,0,0,0.261635,0.217462,0.117996,0.0717137,0,0
2.0125,0.139603,0.163781,-0.0179956,0.0282863,0,0,0.261647,0.217469,0.117996,0.0717137,0,0
2.0126,0.139602,0.163784,-0.0179956,0.0282863,0,0,0.261658,0.217476,0.117996,0.0717137,0,0
2.0127,0.1396,0.163786,-0.0179956,0.0282863,0,0,0.26167,0.217484,0.117996,0.0717137,0,0
2.0128,0.139598,0.163789,-0.0179956,0.0282863,0,0,0.261682,0.217491,0.117996,0.0717137,0,0
2.0129,0.139596,0.163792,-0.0179956,0.0282863,0,0,0.261694,0.217498,0.117996,0.0717137,0,0
2.013,0.139594,0.163795,-0.0179956,0.0282863,0,0,0.261706,0.217505,0.117996,0.0717137,0,0
2.0131,0.139593,0.163798,-0.0179956,0.0282863,0,0,0.261717,0.217512,0.117996,0.0717137,0,0
2.0132,0.139591,0.163801,-0.0179956,0.0282863,0,0,0.261729,0.217519,0.117996,0.0717137,0,0
2.0133,0.139589,0.163803,-0.0179956,0.0282863,0,0,0.261741,0.217527,0.117996,0.0717137,0,0
2.0134,0.139587,0.163806,-0.0179956,0.0282863,0,0,0.261753,0.217534,0.117996,0.0717137,0,0
2.0135,0.139585,0.163809,-0.0179956,0.0282863,0,0,0.261765,0.217541,0.117996,0.0717137,0,0
2.0136,0.139584,0.163812,-0.0179956,0.0282863,0,0,0.261776,0.217548,0.117996,0.0717137,0,0
2.0137,0.139582,0.163815,-0.0179956,0.0282863,0,0,0.261788,0.217555,0.117996,0.0717137,0,0
2.0138,0.13958,0.163817,-0.0179956,0.0282863,0,0,0.2618,0.217563,0.117996,0.0717137,0,0
2.0139,0.139578,0.16382,-0.0179956,0.0282863,0,0,0.261812,0.21757,0.117996,0.0717137,0,0
2.014,0.139576,0.163823,-0.0179956,0.0282863,0,0,0.261824,0.217577,0.117996,0.0717137,0,0
2.0141,0.139575,0.163826,-0.0179956,0.0282863,0,0,0.261835,0.217584,0.117996,0.0717137,0,0
2.0142,0.139573,0.163829,-0.0179956,0.0282863,0,0,0.261847,0.217591,0.117996,0.0717137,0,0
2.0143,0.139571,0.163832,-0.0179956,0.0282863,0,0,0.261859,0.217598,0.117996,0.0717137,0,0
2.0144,0.139569,0.163834,-0.0179956,0.0282863,0,0,0.261871,0.217606,0.117996,0.0717137,0,0
2.0145,0.139567,0.163837,-0.0179956,0.0282863,0,0,0.261883,0.217613,0.117996,0.0717137,0,0
2.0146,0.139566,0.16384,-0.0179956,0.0282863,0,0,0.261894,0.21762,0.117996,0.0717137,0,0
2.0147,0.139564,0.163843,-0.0179956,0.0282863,0,0,0.261906,0.217627,0.117996,0.0717137,0,0
2.0148,0.139562,0.163846,-0.0179956,0.0282863,0,0,0.261918,0.217634,0.117996,0.0717137,0,0
2.0149,0.13956,0.163849,-0.0179956,0.0282863,0,0,0.26193,0.217641,0.117996,0.0717137,0,0
2.015,0.139558,0.163851,-0.0179956,0.0282863,0,0,0.261942,0.217649,0.117996,0.0717137,0,0
